	sequence_id	Assembly	Domain	pH	cluster_id	genus	species	tax_cluster_id	len
0	GCA_000008665.1	GCA_000008665.1	Archaea	Alkaliphiles	Archaea_pH	Archaeoglobus	Archaeoglobus fulgidus	2234.0	100009
1	GCA_000011185.1	GCA_000011185.1	Archaea	Acidophiles	Archaea_pH	Thermoplasma	Thermoplasma volcanium	273116.0	100009
2	GCA_000012285.1	GCA_000012285.1	Archaea	Acidophiles	Archaea_pH	Sulfolobus	Sulfolobus acidocaldarius	2285.0	100009
3	GCA_000014185.1	GCA_000014185.1	Bacteria	Alkaliphiles	Bacteria_pH	Rubrobacter_B	Rubrobacter_B xylanophilus	266117.0	100009
4	GCA_000015025.1	GCA_000015025.1	Bacteria	Acidophiles	Bacteria_pH	Acidothermus	Acidothermus cellulolyticus	351607.0	100009
5	GCA_000018305.1	GCA_000018305.1	Archaea	Acidophiles	Archaea_pH	Caldivirga	Caldivirga maquilingensis	397948.0	100009
6	GCA_000018365.1	GCA_000018365.1	Archaea	Alkaliphiles	Archaea_pH	Thermococcus	Thermococcus onnurineus	523850.0	100009
7	GCA_000021485.1	GCA_000021485.1	Bacteria	Acidophiles	Bacteria_pH	Acidithiobacillus	Acidithiobacillus ferrooxidans	920.0	100009
8	GCA_000022485.1	GCA_000022485.1	Archaea	Acidophiles	Archaea_pH	Saccharolobus	Saccharolobus islandicus	425944.0	100009
9	GCA_000022565.1	GCA_000022565.1	Bacteria	Acidophiles	Bacteria_pH	Acidobacterium	Acidobacterium capsulatum	240015.0	100009
10	GCA_000024285.1	GCA_000024285.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus	Alicyclobacillus acidocaldarius	521098.0	100009
11	GCA_000025625.1	GCA_000025625.1	Archaea	Alkaliphiles	Archaea_pH	Natrialba	Natrialba magadii	547559.0	100009
12	GCA_000025665.1	GCA_000025665.1	Archaea	Acidophiles	Archaea_pH	Aciduliprofundum	Aciduliprofundum boonei	439481.0	100009
13	GCA_000026045.1	GCA_000026045.1	Archaea	Alkaliphiles	Archaea_pH	Natronomonas	Natronomonas pharaonis	348780.0	100009
14	GCA_000092425.1	GCA_000092425.1	Bacteria	Alkaliphiles	Bacteria_pH	Truepera	Truepera radiovictrix	649638.0	100009
15	GCA_000144915.1	GCA_000144915.1	Archaea	Acidophiles	Archaea_pH	Acidilobus	Acidilobus saccharovorans	666510.0	100009
16	GCA_000145615.1	GCA_000145615.1	Bacteria	Acidophiles	Bacteria_pH	Thermoanaerobacterium	Thermoanaerobacterium thermosaccharolyticum	1517.0	100009
17	GCA_000148385.1	GCA_000148385.1	Archaea	Acidophiles	Archaea_pH	Vulcanisaeta	Vulcanisaeta distributa	572478.0	100009
18	GCA_000152265.2	GCA_000152265.2	Archaea	Acidophiles	Archaea_pH	Ferroplasma	Ferroplasma acidarmanus	333146.0	100009
19	GCA_000175575.2	GCA_000175575.2	Bacteria	Acidophiles	Bacteria_pH	Acidithiobacillus_A	Acidithiobacillus_A caldus	637389.0	100009
20	GCA_000183545.3	GCA_000183545.3	Bacteria	Alkaliphiles	Bacteria_pH	Thermaerobacter	Thermaerobacter subterraneus	867903.0	100009
21	GCA_000193375.1	GCA_000193375.1	Archaea	Acidophiles	Archaea_pH	Thermoproteus	Thermoproteus uzoniensis	999630.0	100009
22	GCA_000195575.1	GCA_000195575.1	Bacteria	Alkaliphiles	Bacteria_pH	Carnobacterium_A	Carnobacterium_A sp000195575	208596.0	100009
23	GCA_000195915.1	GCA_000195915.1	Archaea	Acidophiles	Archaea_pH	Thermoplasma	Thermoplasma acidophilum	273075.0	100009
24	GCA_000196895.1	GCA_000196895.1	Archaea	Alkaliphiles	Archaea_pH	Halalkalicoccus	Halalkalicoccus jeotgali	795797.0	100009
25	GCA_000202835.1	GCA_000202835.1	Bacteria	Acidophiles	Bacteria_pH	Acidiphilium	Acidiphilium multivorum	349163.0	100009
