	sequence_id	Assembly	Domain	Temperature	cluster_id	genus	species	tax_cluster_id	len
0	GCA_000007185.1	GCA_000007185.1	Archaea	Hyperthermophiles	Archaea_Temperature	Methanopyrus	Methanopyrus kandleri	190192.0	100009
1	GCA_000007225.1	GCA_000007225.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrobaculum	Pyrobaculum aerophilum	13773.0	100009
2	GCA_000007305.1	GCA_000007305.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrococcus	Pyrococcus furiosus	186497.0	100009
3	GCA_000008545.1	GCA_000008545.1	Bacteria	Hyperthermophiles	Bacteria_Temperature	Thermotoga	Thermotoga maritima	243274.0	100009
4	GCA_000008645.1	GCA_000008645.1	Archaea	Thermophiles	Archaea_Temperature	Methanothermobacter	Methanothermobacter thermautotrophicus	187420.0	100009
5	GCA_000008665.1	GCA_000008665.1	Archaea	Hyperthermophiles	Archaea_Temperature	Archaeoglobus	Archaeoglobus fulgidus	2234.0	100009
6	GCA_000009965.1	GCA_000009965.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus	Thermococcus kodakarensis	69014.0	100009
7	GCA_000010125.1	GCA_000010125.1	Bacteria	Mesophiles	Bacteria_Temperature	Staphylococcus	Staphylococcus saprophyticus	29385.0	100009
8	GCA_000011125.1	GCA_000011125.1	Archaea	Hyperthermophiles	Archaea_Temperature	Aeropyrum	Aeropyrum pernix	56636.0	100009
9	GCA_000011185.1	GCA_000011185.1	Archaea	Thermophiles	Archaea_Temperature	Thermoplasma	Thermoplasma volcanium	273116.0	100009
10	GCA_000011205.1	GCA_000011205.1	Archaea	Hyperthermophiles	Archaea_Temperature	Sulfurisphaera	Sulfurisphaera tokodaii	273063.0	100009
11	GCA_000012285.1	GCA_000012285.1	Archaea	Thermophiles	Archaea_Temperature	Sulfolobus	Sulfolobus acidocaldarius	2285.0	100009
12	GCA_000012305.1	GCA_000012305.1	Bacteria	Psychrophiles	Bacteria_Temperature	Psychrobacter	Psychrobacter arcticus	259536.0	100009
13	GCA_000012745.1	GCA_000012745.1	Bacteria	Thermophiles	Bacteria_Temperature	Thiobacillus	Thiobacillus denitrificans_B	292415.0	100009
14	GCA_000013445.1	GCA_000013445.1	Archaea	Mesophiles	Archaea_Temperature	Methanospirillum	Methanospirillum hungatei	323259.0	100009
15	GCA_000013725.1	GCA_000013725.1	Archaea	Psychrophiles	Archaea_Temperature	Methanococcoides	Methanococcoides burtonii	259564.0	100009
16	GCA_000013765.1	GCA_000013765.1	Bacteria	Mesophiles	Bacteria_Temperature	Shewanella	Shewanella denitrificans	318161.0	100009
17	GCA_000013905.1	GCA_000013905.1	Bacteria	Psychrophiles	Bacteria_Temperature	Psychrobacter	Psychrobacter cryohalolentis	330922.0	100009
18	GCA_000014185.1	GCA_000014185.1	Bacteria	Thermophiles	Bacteria_Temperature	Rubrobacter_B	Rubrobacter_B xylanophilus	266117.0	100009
19	GCA_000014885.1	GCA_000014885.1	Bacteria	Psychrophiles	Bacteria_Temperature	Shewanella	Shewanella piezotolerans	225849.0	100009
20	GCA_000014945.1	GCA_000014945.1	Archaea	Thermophiles	Archaea_Temperature	Methanothrix_B	Methanothrix_B thermoacetophila	349307.0	100009
21	GCA_000015025.1	GCA_000015025.1	Bacteria	Thermophiles	Bacteria_Temperature	Acidothermus	Acidothermus cellulolyticus	351607.0	100009
22	GCA_000015145.1	GCA_000015145.1	Archaea	Hyperthermophiles	Archaea_Temperature	Hyperthermus	Hyperthermus butylicus	415426.0	100009
23	GCA_000015205.1	GCA_000015205.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrobaculum	Pyrobaculum islandicum	384616.0	100009
24	GCA_000015225.1	GCA_000015225.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermofilum_B	Thermofilum_B pendens_A	368408.0	100009
25	GCA_000015285.1	GCA_000015285.1	Bacteria	Psychrophiles	Bacteria_Temperature	Psychromonas	Psychromonas ingrahamii	357804.0	100009
26	GCA_000015505.1	GCA_000015505.1	Bacteria	Psychrophiles	Bacteria_Temperature	Polaromonas	Polaromonas naphthalenivorans	365044.0	100009
27	GCA_000015805.1	GCA_000015805.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrobaculum	Pyrobaculum calidifontis	410359.0	100009
28	GCA_000015825.1	GCA_000015825.1	Archaea	Mesophiles	Archaea_Temperature	Methanoculleus	Methanoculleus marisnigri	2198.0	100009
29	GCA_000015945.1	GCA_000015945.1	Archaea	Hyperthermophiles	Archaea_Temperature	Staphylothermus	Staphylothermus marinus	399550.0	100009
30	GCA_000016065.1	GCA_000016065.1	Bacteria	Psychrophiles	Bacteria_Temperature	Shewanella	Shewanella loihica	323850.0	100009
31	GCA_000016385.1	GCA_000016385.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrobaculum	Pyrobaculum arsenaticum	121277.0	100009
32	GCA_000016545.1	GCA_000016545.1	Bacteria	Thermophiles	Bacteria_Temperature	Caldicellulosiruptor	Caldicellulosiruptor saccharolyticus	351627.0	100009
33	GCA_000016605.1	GCA_000016605.1	Archaea	Thermophiles	Archaea_Temperature	Metallosphaera	Metallosphaera sedula	43687.0	100009
34	GCA_000016785.1	GCA_000016785.1	Bacteria	Hyperthermophiles	Bacteria_Temperature	Thermotoga	Thermotoga petrophila	590168.0	100009
35	GCA_000017185.1	GCA_000017185.1	Archaea	Mesophiles	Archaea_Temperature	Methanothermococcus_A	Methanothermococcus_A aeolicus	42879.0	100009
36	GCA_000017945.1	GCA_000017945.1	Archaea	Hyperthermophiles	Archaea_Temperature	Ignicoccus_A	Ignicoccus_A hospitalis	453591.0	100009
37	GCA_000018025.1	GCA_000018025.1	Bacteria	Psychrophiles	Bacteria_Temperature	Shewanella	Shewanella sediminis	425104.0	100009
38	GCA_000018285.1	GCA_000018285.1	Bacteria	Mesophiles	Bacteria_Temperature	Shewanella	Shewanella pealeana	398579.0	100009
39	GCA_000018305.1	GCA_000018305.1	Archaea	Hyperthermophiles	Archaea_Temperature	Caldivirga	Caldivirga maquilingensis	397948.0	100009
40	GCA_000018365.1	GCA_000018365.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus	Thermococcus onnurineus	523850.0	100009
41	GCA_000018465.1	GCA_000018465.1	Archaea	Mesophiles	Archaea_Temperature	Nitrosopumilus	Nitrosopumilus maritimus	436308.0	100009
42	GCA_000018945.1	GCA_000018945.1	Bacteria	Hyperthermophiles	Bacteria_Temperature	Thermotoga	Thermotoga neapolitana	309803.0	100009
43	GCA_000019085.1	GCA_000019085.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermoanaerobacter	Thermoanaerobacter pseudethanolicus	509193.0	100009
44	GCA_000019185.1	GCA_000019185.1	Bacteria	Psychrophiles	Bacteria_Temperature	Shewanella	Shewanella halifaxensis	271098.0	100009
45	GCA_000019525.1	GCA_000019525.1	Bacteria	Psychrophiles	Bacteria_Temperature	Shewanella	Shewanella woodyi	392500.0	100009
46	GCA_000019805.1	GCA_000019805.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrobaculum	Pyrobaculum neutrophilum	444157.0	100009
47	GCA_000020585.3	GCA_000020585.3	Bacteria	Psychrophiles	Bacteria_Temperature	Alteromonas	Alteromonas mediterranea	1300253.0	100015
48	GCA_000020965.1	GCA_000020965.1	Bacteria	Thermophiles	Bacteria_Temperature	Dictyoglomus	Dictyoglomus thermophilum	309799.0	100009
49	GCA_000021645.1	GCA_000021645.1	Bacteria	Thermophiles	Bacteria_Temperature	Dictyoglomus	Dictyoglomus turgidum	515635.0	100009
50	GCA_000021965.1	GCA_000021965.1	Archaea	Mesophiles	Archaea_Temperature	Methanosphaerula	Methanosphaerula palustris	521011.0	100009
51	GCA_000022205.1	GCA_000022205.1	Archaea	Psychrophiles	Archaea_Temperature	Halorubrum	Halorubrum lacusprofundi	416348.0	100009
52	GCA_000022325.1	GCA_000022325.1	Bacteria	Thermophiles	Bacteria_Temperature	Caldicellulosiruptor	Caldicellulosiruptor bescii	31899.0	100009
53	GCA_000022365.1	GCA_000022365.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus	Thermococcus gammatolerans	593117.0	100009
54	GCA_000022485.1	GCA_000022485.1	Archaea	Hyperthermophiles	Archaea_Temperature	Saccharolobus	Saccharolobus islandicus	425944.0	100009
55	GCA_000022545.1	GCA_000022545.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus_A	Thermococcus_A sibiricus	604354.0	100009
